Brand,Model,Body,Country,Condition,Fuel_Type,Gearbox,Horsepower,Seats,Doors,Color,Full_Service_History,Non_Smoker_Vehicle,Seller,Vehicle_Age,Annual_Distance_Avg,Market_Segment,Classic_Vehicle
30,386,6,4,1,1,0,190,5,5,1,False,0,0,9,10421.666666666666,1,0
39,724,3,2,1,6,1,95,5,4,4,True,0,0,6,8333.333333333334,2,0
21,662,1,2,1,6,0,610,2,2,13,True,1,0,5,1406.0,0,0
38,748,0,1,1,6,1,105,5,5,1,False,1,0,12,13666.666666666666,2,0
5,59,6,1,1,4,0,163,5,5,1,True,1,0,5,16000.0,1,0
20,836,3,6,1,4,0,141,5,5,7,False,1,0,8,14075.0,2,0
38,220,3,4,1,1,2,150,5,5,1,False,0,0,2,100.0,2,0
36,347,5,1,0,4,0,145,5,5,2,False,1,0,1,10.0,2,0
44,1094,3,2,1,6,1,150,5,4,9,True,1,0,17,14261.058823529413,2,0
26,420,3,0,1,6,0,186,5,5,9,True,1,0,4,6075.0,2,0
19,226,3,4,1,4,0,101,5,5,13,False,0,0,1,1000.0,2,0
32,909,3,7,1,1,1,116,5,5,13,False,0,0,5,6200.0,2,0
12,327,2,3,1,6,0,385,4,2,2,True,1,0,11,1739.7272727272727,2,0
8,288,3,6,1,6,0,82,5,5,13,True,0,0,12,11644.583333333334,2,0
11,983,5,2,1,6,1,91,5,4,13,True,0,0,1,10.0,2,0
18,1191,5,3,1,6,0,0,5,5,7,False,0,0,11,8363.636363636364,1,0
38,220,3,0,1,1,1,150,5,5,1,True,1,0,4,17250.0,2,0
36,783,0,1,1,6,1,300,5,4,8,False,0,0,2,19123.5,2,0
23,921,3,4,1,1,0,150,5,5,13,False,0,0,12,19500.0,1,0
45,1141,6,4,1,1,0,197,5,5,7,True,1,0,5,18000.0,1,0
4,821,5,7,1,6,0,544,5,4,2,False,0,0,9,3142.6666666666665,0,0
37,874,5,3,1,6,0,460,4,5,1,False,0,0,20,1024.5,0,0
18,482,3,7,1,4,0,309,5,5,13,False,0,0,5,12200.0,1,0
0,94,0,2,1,6,1,145,4,2,1,True,1,0,7,11264.42857142857,2,0
7,840,6,8,1,6,1,121,5,5,10,False,1,1,21,4285.714285714285,2,0
13,124,2,3,1,6,0,620,2,2,1,True,1,0,19,2894.736842105264,0,0
34,34,6,2,1,6,0,120,5,4,7,True,1,0,18,5055.555555555556,2,0
36,224,3,2,1,6,0,158,5,5,1,False,1,0,3,12083.333333333334,2,0
28,1033,4,2,1,1,1,163,3,5,2,False,1,0,15,31222.0,1,0
15,548,6,6,1,1,1,105,5,5,1,False,0,0,13,23056.76923076923,2,0
16,336,2,8,1,6,1,120,5,2,10,False,1,1,20,15658.05,2,0
7,415,0,6,1,6,1,141,5,5,7,True,0,0,15,11554.2,2,0
1,1098,3,4,1,4,0,160,5,5,7,False,0,0,2,10250.0,1,0
34,55,6,0,1,1,1,131,5,5,7,True,1,0,4,13750.0,2,0
32,909,3,2,1,6,1,159,5,5,13,True,1,0,7,7142.428571428572,2,0
5,57,5,1,1,1,1,116,5,5,7,True,1,0,8,25960.75,1,0
36,783,6,1,1,6,1,116,5,5,7,True,1,0,7,8401.142857142857,2,0
20,1190,3,2,1,4,0,141,5,5,11,True,1,0,6,17640.666666666668,2,0
2,1149,2,7,1,6,0,665,2,3,1,False,0,0,2,2870.0,0,0
11,457,3,4,1,8,1,101,5,5,13,False,0,0,1,40.0,2,0
25,750,3,2,1,6,0,430,5,5,1,True,0,0,8,10809.375,0,0
22,1211,5,4,1,4,1,69,5,5,7,False,0,0,2,9204.5,2,0
44,880,0,6,1,6,1,95,5,5,1,True,0,0,4,25800.25,2,0
37,1009,5,2,1,6,0,241,5,4,0,True,0,0,39,1653.8461538461538,0,1
10,552,3,2,1,6,0,150,5,4,1,True,1,0,2,13680.5,1,0
42,809,3,8,1,2,0,204,5,5,11,False,0,1,4,36250.0,1,0
33,811,3,6,1,6,1,141,5,5,4,True,0,0,11,14104.363636363636,2,0
36,1124,0,6,1,6,1,58,4,3,7,True,0,0,18,10795.166666666666,2,0
14,1043,2,2,1,6,1,170,5,2,10,False,0,0,19,442.10526315789474,2,0
7,1027,0,6,1,8,1,65,5,5,13,True,0,0,14,13769.42857142857,2,0
9,279,1,8,1,6,1,299,2,2,13,False,0,1,66,1515.1363636363635,0,1
38,673,0,2,1,6,0,110,5,5,9,True,0,0,5,6166.0,2,0
17,665,0,2,1,6,1,63,4,5,1,True,1,0,2,1250.0,2,0
0,139,0,4,1,6,0,179,4,3,11,False,1,0,8,7375.0,2,0
13,538,1,3,1,6,0,0,2,2,7,True,0,0,19,2684.2105263157896,0,0
37,874,5,2,1,6,0,571,4,4,1,True,0,0,4,3000.0,0,0
28,578,3,1,1,6,1,122,5,5,1,True,1,0,7,7045.714285714285,1,0
21,567,2,8,1,6,2,500,2,3,14,True,1,1,22,1909.090909090909,0,0
41,705,3,8,1,6,1,102,2,3,7,True,1,1,3,433.3333333333333,2,0
33,811,3,2,1,6,1,101,5,5,9,True,1,0,4,6828.75,2,0
17,733,3,2,1,2,0,218,5,5,7,False,0,0,1,2489.0,2,0
38,213,3,4,1,0,1,90,5,5,13,True,1,0,6,19431.166666666668,2,0
8,282,0,2,1,6,0,110,5,5,7,False,1,0,2,12950.0,2,0
2,434,2,3,1,6,0,510,4,2,11,False,0,0,7,3071.428571428572,0,0
6,995,3,8,1,2,0,530,5,5,1,True,1,1,1,14500.0,2,0
15,1113,4,2,1,6,1,101,5,5,7,False,1,0,9,14303.111111111111,2,0
38,1082,3,0,1,1,0,150,5,5,7,True,1,0,7,22871.42857142857,2,0
21,567,1,3,1,6,0,519,2,2,13,True,1,0,12,2360.0,0,0
